Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin,Medicago,Sanofi/GSK,SKYCovione,Valneva
Argentina,ARG,2020-12-29,0,0,1,0,20493,0,1,0,0,0,0,0,0,0
Argentina,ARG,2020-12-30,0,0,1,0,40595,0,1,0,0,0,0,0,0,0
Argentina,ARG,2020-12-31,0,0,1,0,43401,0,1,0,0,0,0,0,0,0
Argentina,ARG,2021-01-01,0,0,3,0,43528,0,1,0,0,0,0,0,0,0
Argentina,ARG,2021-01-02,1,0,4,0,46838,0,1,0,0,0,0,0,0,0
Argentina,ARG,2021-01-03,3,0,4,0,47282,0,1,0,0,0,0,0,0,0
Argentina,ARG,2021-01-04,3,0,4,0,57745,0,1,0,0,0,0,0,0,0
Argentina,ARG,2021-01-05,3,0,4,0,68472,0,5,0,0,0,0,0,0,0
Argentina,ARG,2021-01-06,6,0,5,0,78585,0,8,0,0,0,0,0,0,0
Argentina,ARG,2021-01-07,8,0,9,0,96811,0,10,0,0,0,0,0,0,0
Argentina,ARG,2021-01-08,8,0,10,0,124704,0,10,0,0,0,0,0,0,0
Argentina,ARG,2021-01-09,9,0,11,0,134912,0,11,0,0,0,0,0,0,0
Argentina,ARG,2021-01-10,12,0,11,0,136087,0,12,0,0,0,0,0,0,0
Argentina,ARG,2021-01-11,12,0,12,0,155915,0,14,0,0,0,0,0,0,0
Argentina,ARG,2021-01-12,13,0,14,0,175306,0,17,0,0,0,0,0,0,0
Argentina,ARG,2021-01-13,13,1,15,0,192078,0,21,0,0,0,0,0,0,0
Argentina,ARG,2021-01-14,14,1,15,0,208726,0,22,0,0,0,0,0,0,0
Argentina,ARG,2021-01-15,14,1,15,0,226173,0,22,0,0,0,0,0,0,0
Argentina,ARG,2021-01-16,14,1,15,0,232058,0,22,0,0,0,0,0,0,0
Argentina,ARG,2021-01-17,15,1,15,0,233121,0,22,0,0,0,0,0,0,0
Argentina,ARG,2021-01-18,16,1,15,0,242954,0,22,0,0,0,0,0,0,0
Argentina,ARG,2021-01-19,16,1,15,0,256208,0,24,1,0,0,0,0,0,0
Argentina,ARG,2021-01-20,16,1,15,0,275642,0,24,1,0,0,0,0,0,0
Argentina,ARG,2021-01-21,16,1,20,0,289756,0,26,1,0,0,0,0,0,0
Argentina,ARG,2021-01-22,16,1,23,0,298976,0,27,1,0,0,0,0,0,0
Argentina,ARG,2021-01-23,16,1,28,0,302921,0,27,1,0,0,0,0,0,0
Argentina,ARG,2021-01-24,16,1,29,0,303224,0,27,1,0,0,0,0,0,0
Argentina,ARG,2021-01-25,16,1,37,0,317436,0,27,1,0,0,0,0,0,0
Argentina,ARG,2021-01-26,16,1,75,0,330214,0,28,1,0,0,0,0,0,0
Argentina,ARG,2021-01-27,16,1,77,0,340327,0,28,1,0,0,0,0,0,0
Argentina,ARG,2021-01-28,16,1,78,0,356376,0,28,1,0,0,0,0,0,0
Argentina,ARG,2021-01-29,16,1,79,0,379880,0,28,1,0,0,0,0,0,0
Argentina,ARG,2021-01-30,16,1,79,0,389196,0,28,1,0,0,0,0,0,0
Argentina,ARG,2021-01-31,16,1,79,0,389819,0,29,2,0,0,0,0,0,0
Argentina,ARG,2021-02-01,16,1,98,0,409335,0,30,2,0,0,0,0,0,0
Argentina,ARG,2021-02-02,16,1,131,0,433186,0,30,2,0,0,0,0,0,0
Argentina,ARG,2021-02-03,16,1,139,0,459800,0,33,2,0,0,0,0,0,0
Argentina,ARG,2021-02-04,16,2,144,0,487914,0,56,2,0,0,0,0,0,0
Argentina,ARG,2021-02-05,16,2,149,0,520948,0,63,4,0,0,0,0,0,0
Argentina,ARG,2021-02-06,16,2,149,0,531875,0,68,4,0,0,0,0,0,0
Argentina,ARG,2021-02-07,16,2,150,0,533255,0,72,4,0,0,0,0,0,0
Argentina,ARG,2021-02-08,16,2,152,0,556688,0,74,4,0,0,0,0,0,0
Argentina,ARG,2021-02-09,16,3,154,0,576884,0,80,4,0,0,0,0,0,0
Argentina,ARG,2021-02-10,16,3,157,0,592505,0,85,4,0,0,0,0,0,0
Argentina,ARG,2021-02-11,16,3,160,0,610358,0,91,4,0,0,0,0,0,0
Argentina,ARG,2021-02-12,16,3,161,0,626200,0,92,4,0,0,0,0,0,0
Argentina,ARG,2021-02-13,16,3,163,0,629232,0,94,4,0,0,0,0,0,0
Argentina,ARG,2021-02-14,16,3,163,0,629383,0,96,4,0,0,0,0,0,0
Argentina,ARG,2021-02-15,17,3,163,0,630698,0,98,4,0,0,0,0,0,0
Argentina,ARG,2021-02-16,18,3,175,0,631996,0,100,4,0,0,0,0,0,0
Argentina,ARG,2021-02-17,18,3,186,0,656399,0,103,4,0,0,0,0,0,0
Argentina,ARG,2021-02-18,19,3,217,0,720212,0,107,4,0,0,0,0,0,0
Argentina,ARG,2021-02-19,19,3,407,0,787933,0,108,4,0,0,0,0,0,0
Argentina,ARG,2021-02-20,19,3,555,0,820409,0,109,4,0,0,0,0,0,0
Argentina,ARG,2021-02-21,19,3,956,0,840190,0,109,4,0,0,0,0,0,0
Argentina,ARG,2021-02-22,19,3,23569,0,885173,0,109,4,0,0,0,0,0,0
Argentina,ARG,2021-02-23,19,3,73783,0,921941,0,111,4,0,0,0,0,0,0
Argentina,ARG,2021-02-24,19,3,135888,0,953704,0,114,4,0,0,0,0,0,0
Argentina,ARG,2021-02-25,19,3,189066,0,980022,0,118,4,0,0,0,0,0,0
Argentina,ARG,2021-02-26,19,3,245141,0,1005664,0,127,4,0,0,0,0,0,0
Argentina,ARG,2021-02-27,19,4,258491,0,1010224,0,128,4,0,0,0,0,0,0
Argentina,ARG,2021-02-28,19,4,263842,0,1011001,0,129,4,0,0,0,0,0,0
Argentina,ARG,2021-03-01,19,4,317182,0,1031548,0,831,4,0,0,0,0,0,0
Argentina,ARG,2021-03-02,19,4,368832,0,1050580,0,5797,4,0,0,0,0,0,0
Argentina,ARG,2021-03-03,19,4,404831,0,1068274,0,23634,4,0,0,0,0,0,0
Argentina,ARG,2021-03-04,19,4,430562,0,1090340,0,87942,4,0,0,0,0,0,0
Argentina,ARG,2021-03-05,19,4,454862,0,1111289,0,154460,4,0,0,0,0,0,0
Argentina,ARG,2021-03-06,19,4,462781,0,1115893,0,196888,4,0,0,0,0,0,0
Argentina,ARG,2021-03-07,19,4,467757,0,1116270,0,203333,4,0,0,0,0,0,0
Argentina,ARG,2021-03-08,20,4,499342,0,1134256,0,256286,4,0,0,0,0,0,0
Argentina,ARG,2021-03-09,20,4,515689,0,1170622,0,319405,4,0,0,0,0,0,0
Argentina,ARG,2021-03-10,20,4,527779,0,1223800,0,418153,4,0,0,0,0,0,0
Argentina,ARG,2021-03-11,20,4,537726,0,1315876,0,503050,4,0,0,0,0,0,0
Argentina,ARG,2021-03-12,20,4,545250,0,1408901,0,564204,4,0,0,0,0,0,0
Argentina,ARG,2021-03-13,20,4,548229,0,1441817,0,574711,4,0,0,0,0,0,0
Argentina,ARG,2021-03-14,20,4,548278,0,1444284,0,581369,4,0,0,0,0,0,0
Argentina,ARG,2021-03-15,20,4,554702,0,1534889,0,621994,4,0,0,0,0,0,0
Argentina,ARG,2021-03-16,20,4,557822,0,1630850,0,656674,4,0,0,0,0,0,0
Argentina,ARG,2021-03-17,20,4,560535,0,1744779,0,679655,4,0,0,0,0,0,0
Argentina,ARG,2021-03-18,20,6,562224,0,1859921,0,701809,4,0,0,0,0,0,0
